Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-04-25,12,Fukushima United 0-1 Ventforet Kofu,Fukushima United,Ventforet Kofu,dravffoq2eoiy7a4unvr5djpw,6zphrfwmx51d27qsh1ogeb6z8
2026-04-25,12,Consadole Sapporo 2-1 Iwaki,Consadole Sapporo,Iwaki,dravffoq2eoiy7a4unvr5djpw,6z63do0g805r7w71bdsp8hvkk
2026-04-25,12,Thespa Gunma 3-1 Yokohama,Thespa Gunma,Yokohama,dravffoq2eoiy7a4unvr5djpw,5mdwgsd6ip1f8whfbx2tsse1g
2026-04-25,12,Tochigi City 2-1 Tochigi,Tochigi City,Tochigi,dravffoq2eoiy7a4unvr5djpw,5lv0t8in39lxv9g2kes9y1xjo
2026-04-25,12,Vegalta Sendai 1-0 Montedio Yamagata,Vegalta Sendai,Montedio Yamagata,dravffoq2eoiy7a4unvr5djpw,5lac1o2l8n5h4poiktwtfoljo
2026-04-25,12,Júbilo Iwata 1-0 Gifu,Júbilo Iwata,Gifu,dravffoq2eoiy7a4unvr5djpw,70v0njw3fxrnb385uiqyxmmtw
2026-04-19,11,Roasso Kumamoto 0-2 Sagan Tosu,Roasso Kumamoto,Sagan Tosu,dravffoq2eoiy7a4unvr5djpw,9u4dkh61de6p66tepfvro2dqs
2026-04-19,11,Gainare Tottori 0-1 Tegevajaro Miyazaki,Gainare Tottori,Tegevajaro Miyazaki,dravffoq2eoiy7a4unvr5djpw,9syj8slma8yhp1xpu11ippkpg
2026-04-19,11,Reilac Shiga 0-3 Oita Trinita,Reilac Shiga,Oita Trinita,dravffoq2eoiy7a4unvr5djpw,9sci8v1ddzrqppvsg8r7twtg4
2026-04-19,11,Kataller Toyama 4-0 Kochi United,Kataller Toyama,Kochi United,dravffoq2eoiy7a4unvr5djpw,8caesqrpdx6fxz8sv0w9v95as
2026-04-19,11,Iwaki 1-0 Nagano Parceiro,Iwaki,Nagano Parceiro,dravffoq2eoiy7a4unvr5djpw,6xkc7mtbq1bhug8coe953c3ys
2026-04-19,11,Fukushima United 1-2 Gifu,Fukushima United,Gifu,dravffoq2eoiy7a4unvr5djpw,6x102lng99f3fqhlmua2quxas
2026-04-19,11,Tochigi 0-2 Sagamihara,Tochigi,Sagamihara,dravffoq2eoiy7a4unvr5djpw,5jji3ya9bcbz4dgneu004836c
2026-04-19,11,Montedio Yamagata 1-0 Vanraure Hachinohe,Montedio Yamagata,Vanraure Hachinohe,dravffoq2eoiy7a4unvr5djpw,5j0f275xosqpl9panuxo2ri1g
2026-04-19,11,Blaublitz Akita 1-3 Yokohama,Blaublitz Akita,Yokohama,dravffoq2eoiy7a4unvr5djpw,5ih17783kq8muhnszx2hpt72s
2026-04-18,11,Ryūkyū 0-2 Giravanz Kitakyushu,Ryūkyū,Giravanz Kitakyushu,dravffoq2eoiy7a4unvr5djpw,9uncw4dncz6ko4dfwpi84vytw
2026-04-18,11,Tokushima Vortis 2-1 Zweigen Kanazawa,Tokushima Vortis,Zweigen Kanazawa,dravffoq2eoiy7a4unvr5djpw,8ejbvck9sfu8nsng1mjrtq238
2026-04-18,11,Nara Club 1-1 Kamatamare Sanuki,Nara Club,Kamatamare Sanuki,dravffoq2eoiy7a4unvr5djpw,8dmbfmbge5iw6zrrt8wy5f8k4
2026-04-18,11,Albirex Niigata 1-0 Imabari,Albirex Niigata,Imabari,dravffoq2eoiy7a4unvr5djpw,8br08rh78expe41zzyxeab66s
2026-04-18,11,Ventforet Kofu 0-1 Fujieda MYFC,Ventforet Kofu,Fujieda MYFC,dravffoq2eoiy7a4unvr5djpw,6yn23tnk00ynq7xocpycteplg
2026-04-18,11,Omiya Ardija 1-2 Júbilo Iwata,Omiya Ardija,Júbilo Iwata,dravffoq2eoiy7a4unvr5djpw,6y3h2wiphmq0mnwd505wfygb8
2026-04-18,11,Shonan Bellmare 1-2 Thespa Gunma,Shonan Bellmare,Thespa Gunma,dravffoq2eoiy7a4unvr5djpw,5k2s5zwcz2sfhfzbq77kucidw
2026-04-18,11,Vegalta Sendai 5-0 Tochigi City,Vegalta Sendai,Tochigi City,dravffoq2eoiy7a4unvr5djpw,5hy59yqbipgy1ruvdsilhx0k4
2026-04-18,11,Renofa Yamaguchi 2-1 Kagoshima United,Renofa Yamaguchi,Kagoshima United,dravffoq2eoiy7a4unvr5djpw,9ti9t1zjainr8u5gizzwkcavo
2026-04-18,11,Consadole Sapporo 2-1 Matsumoto Yamaga,Consadole Sapporo,Matsumoto Yamaga,dravffoq2eoiy7a4unvr5djpw,6wi5dibz27yo6cgf8u2mpd3x0
2026-04-17,11,Osaka 0-1 Ehime,Osaka,Ehime,dravffoq2eoiy7a4unvr5djpw,8cu6xh50sghb7ey3x7gkts1zo
2026-04-12,10,Kagoshima United 3-1 Gainare Tottori,Kagoshima United,Gainare Tottori,dravffoq2eoiy7a4unvr5djpw,9rs8yte8358szl4vcx0vc8lck
2026-04-12,10,Roasso Kumamoto 0-5 Tegevajaro Miyazaki,Roasso Kumamoto,Tegevajaro Miyazaki,dravffoq2eoiy7a4unvr5djpw,9pxphlba3on0o54qe12ipl9uc
2026-04-12,10,Giravanz Kitakyushu 0-1 Sagan Tosu,Giravanz Kitakyushu,Sagan Tosu,dravffoq2eoiy7a4unvr5djpw,9pc9fwa6x9pey2xzksa5lhw5w
2026-04-12,10,Reilac Shiga 2-1 Ryūkyū,Reilac Shiga,Ryūkyū,dravffoq2eoiy7a4unvr5djpw,9on31kglhdqeg66ugrw4q2yok
2026-04-12,10,Kochi United 2-1 Albirex Niigata,Kochi United,Albirex Niigata,dravffoq2eoiy7a4unvr5djpw,8b7nqf34ssnax4wwwow8na39w
2026-04-12,10,Ehime 3-2 Nara Club,Ehime,Nara Club,dravffoq2eoiy7a4unvr5djpw,8ao6taj42rdpigiji0p8qghec
2026-04-12,10,Kamatamare Sanuki 0-5 Tokushima Vortis,Kamatamare Sanuki,Tokushima Vortis,dravffoq2eoiy7a4unvr5djpw,8a3k6a6dlw60xh516xtnuwglw
2026-04-12,10,Zweigen Kanazawa 0-0 Imabari,Zweigen Kanazawa,Imabari,dravffoq2eoiy7a4unvr5djpw,88xqafqdv27rxbsxf0qt6ccus
2026-04-12,10,Matsumoto Yamaga 4-1 Omiya Ardija,Matsumoto Yamaga,Omiya Ardija,dravffoq2eoiy7a4unvr5djpw,6uvtx0n1yq71bm3qbvxlbevis
2026-04-12,10,Fukushima United 2-3 Iwaki,Fukushima United,Iwaki,dravffoq2eoiy7a4unvr5djpw,6ts0xh14a07p5huivspv2v190
2026-04-12,10,Sagamihara 0-3 Vegalta Sendai,Sagamihara,Vegalta Sendai,dravffoq2eoiy7a4unvr5djpw,5hf00u62bu77lp37ymkd5q238
2026-04-12,10,Tochigi City 2-4 Vanraure Hachinohe,Tochigi City,Vanraure Hachinohe,dravffoq2eoiy7a4unvr5djpw,5gvri7k3ba06utw75tdzts5xw
2026-04-12,10,Tochigi 5-1 Thespa Gunma,Tochigi,Thespa Gunma,dravffoq2eoiy7a4unvr5djpw,5gayww70fip4eo7o3r5899q8k
2026-04-12,10,Montedio Yamagata 1-0 Yokohama,Montedio Yamagata,Yokohama,dravffoq2eoiy7a4unvr5djpw,5fs1fv1i0t2mvoiclmearpatw
2026-04-12,10,Blaublitz Akita 0-1 Shonan Bellmare,Blaublitz Akita,Shonan Bellmare,dravffoq2eoiy7a4unvr5djpw,5f8ss978kuc7ivi7naletxd78
2026-04-12,10,Nagano Parceiro 1-1 Júbilo Iwata,Nagano Parceiro,Júbilo Iwata,dravffoq2eoiy7a4unvr5djpw,6vejgqma3fiimjbna2926c5qs
2026-04-11,10,Oita Trinita 1-2 Renofa Yamaguchi,Oita Trinita,Renofa Yamaguchi,dravffoq2eoiy7a4unvr5djpw,9qyhcdu4vtzqojjrw7yn30e1g
2026-04-11,10,Osaka 1-2 Kataller Toyama,Osaka,Kataller Toyama,dravffoq2eoiy7a4unvr5djpw,89iv2ucorzusut98jkozx8kd0
2026-04-11,10,Gifu 1-2 Fujieda MYFC,Gifu,Fujieda MYFC,dravffoq2eoiy7a4unvr5djpw,6vxciiyp4r4iuzmntnrjluuc4
2026-04-11,10,Ventforet Kofu 2-1 Consadole Sapporo,Ventforet Kofu,Consadole Sapporo,dravffoq2eoiy7a4unvr5djpw,6uaylbrsx1x175dky6be18etw
2026-04-08,1,Tochigi 0-3 Vanraure Hachinohe,Tochigi,Vanraure Hachinohe,dravffoq2eoiy7a4unvr5djpw,4pov1e5gkaoyiakm847pib8k4
2026-04-05,9,Kagoshima United 1-1 Giravanz Kitakyushu,Kagoshima United,Giravanz Kitakyushu,dravffoq2eoiy7a4unvr5djpw,9n7wdelj46otycn7qgna3uyok
2026-04-05,9,Tegevajaro Miyazaki 3-0 Renofa Yamaguchi,Tegevajaro Miyazaki,Renofa Yamaguchi,dravffoq2eoiy7a4unvr5djpw,9mou1u56g7949fpb34vvzgt1w
2026-04-05,9,Sagan Tosu 0-1 Oita Trinita,Sagan Tosu,Oita Trinita,dravffoq2eoiy7a4unvr5djpw,9m60p1cwsz84pnm5dujnmke1g
2026-04-05,9,Kochi United 2-0 Kamatamare Sanuki,Kochi United,Kamatamare Sanuki,dravffoq2eoiy7a4unvr5djpw,88eeeprtubnxc8sh0gxlll53o
2026-04-05,9,Tokushima Vortis 1-0 Osaka,Tokushima Vortis,Osaka,dravffoq2eoiy7a4unvr5djpw,879evbs7xxgfkslpbcb2kh6ac
2026-04-05,9,Kataller Toyama 5-2 Nara Club,Kataller Toyama,Nara Club,dravffoq2eoiy7a4unvr5djpw,86q1jxo45hr4d7pbu1k840w0k
2026-04-05,9,Matsumoto Yamaga 2-2 Iwaki,Matsumoto Yamaga,Iwaki,dravffoq2eoiy7a4unvr5djpw,6s66orl4pn4pijtnl8v3ot8us
2026-04-05,9,Imabari 0-1 Ehime,Imabari,Ehime,dravffoq2eoiy7a4unvr5djpw,87sgjl213j7dd6qwh2ay89lp0
2026-04-05,9,Vanraure Hachinohe 0-2 Montedio Yamagata,Vanraure Hachinohe,Montedio Yamagata,dravffoq2eoiy7a4unvr5djpw,5bvqidpm3ku9sm9jlr29konpw
2026-04-04,9,Ryūkyū 0-1 Roasso Kumamoto,Ryūkyū,Roasso Kumamoto,dravffoq2eoiy7a4unvr5djpw,9ns84p5ngpj4kkgdjbls7651w
2026-04-04,9,Albirex Niigata 0-0 Zweigen Kanazawa,Albirex Niigata,Zweigen Kanazawa,dravffoq2eoiy7a4unvr5djpw,863h2dnl1xce0nkiq91uqw5jo
2026-04-04,9,Fujieda MYFC 0-2 Nagano Parceiro,Fujieda MYFC,Nagano Parceiro,dravffoq2eoiy7a4unvr5djpw,6t8r2itj2tkp3w08l3cko1x5g
2026-04-04,9,Júbilo Iwata 1-0 Ventforet Kofu,Júbilo Iwata,Ventforet Kofu,dravffoq2eoiy7a4unvr5djpw,6spmhy17h80vp6y4j2r55v8k4
2026-04-04,9,Omiya Ardija 3-0 Gifu,Omiya Ardija,Gifu,dravffoq2eoiy7a4unvr5djpw,6rmxflib4ullvxe8yohboj28k
2026-04-04,9,Consadole Sapporo 0-2 Fukushima United,Consadole Sapporo,Fukushima United,dravffoq2eoiy7a4unvr5djpw,6r2431ab0h73zi6wshak76kus
2026-04-04,9,Shonan Bellmare 1-1 Tochigi,Shonan Bellmare,Tochigi,dravffoq2eoiy7a4unvr5djpw,5epkdtnmgt313at1lrgj8m80k
2026-04-04,9,Yokohama 1-2 Blaublitz Akita,Yokohama,Blaublitz Akita,dravffoq2eoiy7a4unvr5djpw,5e33zo4ye5ukaanjlw93wihp0
2026-04-04,9,Tochigi City 0-0 Sagamihara,Tochigi City,Sagamihara,dravffoq2eoiy7a4unvr5djpw,5djg7t0j5kqxubpiicuh05mok
2026-04-04,9,Vegalta Sendai 2-2 Thespa Gunma,Vegalta Sendai,Thespa Gunma,dravffoq2eoiy7a4unvr5djpw,5cnhmsfw2asyny897gx27coic
2026-03-29,8,Giravanz Kitakyushu 1-0 Ryūkyū,Giravanz Kitakyushu,Ryūkyū,dravffoq2eoiy7a4unvr5djpw,9k90qhr1gixpacrlk57tr0qok
2026-03-29,8,Renofa Yamaguchi 3-1 Oita Trinita,Renofa Yamaguchi,Oita Trinita,dravffoq2eoiy7a4unvr5djpw,9jnbq8b1613h0g3db97wdaeqc
2026-03-29,8,Gainare Tottori 0-2 Sagan Tosu,Gainare Tottori,Sagan Tosu,dravffoq2eoiy7a4unvr5djpw,9j4cq7arie0vlpf9sv1zbex3o
2026-03-29,8,Reilac Shiga 1-0 Tegevajaro Miyazaki,Reilac Shiga,Tegevajaro Miyazaki,dravffoq2eoiy7a4unvr5djpw,9iky35hcizez1idwz7ef27f2s
2026-03-29,8,Tokushima Vortis 3-0 Kochi United,Tokushima Vortis,Kochi United,dravffoq2eoiy7a4unvr5djpw,85k8sodn8xaugpzm15t614jro
2026-03-29,8,Kamatamare Sanuki 1-0 Ehime,Kamatamare Sanuki,Ehime,dravffoq2eoiy7a4unvr5djpw,850xox3g73t6xnvacst85t2c4
